;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
 S 18 ;4025,78;4133,45;4666,83;5066,83;5666,85;6033,52
 S 17 ;3696,23;3966,79;4400,13;4666,83;5200,16;5513,51
 S 16 ;3616,47;3880,13;4173,46;4533,47;4933,48;5173,5
 S 15 ;3481,65;3733,42;4000,14;4306,81;4800,16;5013,48
 S 14 ;3446,47;3695,15;3991,52;4292,99;4626,36;4859,69
 S 13 ;3361,11;3603,41;3933,46;4200,11;4533,47;4700,14
 S 12 ;3351,74;3593,37;3909,61;4189,61;4536,3;4682,97
 S 11b ;3304,79;3542,98;3710,32;4137,01;4470,35;4670,36
 S 11a ;3242,17;3475,77;3641,71;4066,8;4400,13;4600,14
 S 10 ;3017,83;3324,4;3477,7;3935,68;4309,24;4616,08
 S 9 ;2995,63;3211,18;3463,08;3831,49;4179,82;4446,86
 S 8b ;2995,63;3211,18;3463,08;3831,49;4179,82;4446,86
 S 8a ;2931,61;3142,47;3360,03;3566,15;3767,64;3979,52
 S 7 ;2855,54;3060,84;3265,12;3469,36;3622,58;3853,46
 S 4 ;2730,63;2926,79;3105,53;3226,82;3341,72;3520,72
 S 3 ;2572,41;2756,99;2928,7;3086,37;3158,51;3244,68
 S 2 ;2377,38;2490,44;2574,07;2664,88;2767;2869,15
